v_sens=0.000	csgo_sens=0
v_sens=0.011	csgo_sens=0.035
v_sens=0.022	csgo_sens=0.07
v_sens=0.033	csgo_sens=0.105
v_sens=0.044	csgo_sens=0.14
v_sens=0.055	csgo_sens=0.175
v_sens=0.066	csgo_sens=0.21
v_sens=0.077	csgo_sens=0.245
v_sens=0.088	csgo_sens=0.28
v_sens=0.099	csgo_sens=0.315
v_sens=0.110	csgo_sens=0.35
v_sens=0.121	csgo_sens=0.385
v_sens=0.132	csgo_sens=0.42
v_sens=0.143	csgo_sens=0.455
v_sens=0.154	csgo_sens=0.49
v_sens=0.165	csgo_sens=0.525
v_sens=0.176	csgo_sens=0.56
v_sens=0.187	csgo_sens=0.595
v_sens=0.198	csgo_sens=0.63
v_sens=0.209	csgo_sens=0.665
v_sens=0.220	csgo_sens=0.7
v_sens=0.231	csgo_sens=0.735
v_sens=0.242	csgo_sens=0.77
v_sens=0.253	csgo_sens=0.805
v_sens=0.264	csgo_sens=0.84
v_sens=0.275	csgo_sens=0.875
v_sens=0.286	csgo_sens=0.91
v_sens=0.297	csgo_sens=0.945
v_sens=0.308	csgo_sens=0.98
v_sens=0.319	csgo_sens=1.015
v_sens=0.330	csgo_sens=1.05
v_sens=0.341	csgo_sens=1.085
v_sens=0.352	csgo_sens=1.12
v_sens=0.363	csgo_sens=1.155
v_sens=0.374	csgo_sens=1.19
v_sens=0.385	csgo_sens=1.225
v_sens=0.396	csgo_sens=1.26
v_sens=0.407	csgo_sens=1.295
v_sens=0.418	csgo_sens=1.33
v_sens=0.429	csgo_sens=1.365
v_sens=0.440	csgo_sens=1.4
v_sens=0.451	csgo_sens=1.435
v_sens=0.462	csgo_sens=1.47
v_sens=0.473	csgo_sens=1.505
v_sens=0.484	csgo_sens=1.54
v_sens=0.495	csgo_sens=1.575
v_sens=0.506	csgo_sens=1.61
v_sens=0.517	csgo_sens=1.645
v_sens=0.528	csgo_sens=1.68
v_sens=0.539	csgo_sens=1.715
v_sens=0.550	csgo_sens=1.75
v_sens=0.561	csgo_sens=1.785
v_sens=0.572	csgo_sens=1.82
v_sens=0.583	csgo_sens=1.855
v_sens=0.594	csgo_sens=1.89
v_sens=0.605	csgo_sens=1.925
v_sens=0.616	csgo_sens=1.96
v_sens=0.627	csgo_sens=1.995
v_sens=0.638	csgo_sens=2.03
v_sens=0.649	csgo_sens=2.065
v_sens=0.660	csgo_sens=2.1
v_sens=0.671	csgo_sens=2.135
v_sens=0.682	csgo_sens=2.17
v_sens=0.693	csgo_sens=2.205
v_sens=0.704	csgo_sens=2.24
v_sens=0.715	csgo_sens=2.275
v_sens=0.726	csgo_sens=2.31
v_sens=0.737	csgo_sens=2.345
v_sens=0.748	csgo_sens=2.38
v_sens=0.759	csgo_sens=2.415
v_sens=0.770	csgo_sens=2.45
v_sens=0.781	csgo_sens=2.485
v_sens=0.792	csgo_sens=2.52
v_sens=0.803	csgo_sens=2.555
v_sens=0.814	csgo_sens=2.59
v_sens=0.825	csgo_sens=2.625
v_sens=0.836	csgo_sens=2.66
v_sens=0.847	csgo_sens=2.695
v_sens=0.858	csgo_sens=2.73
v_sens=0.869	csgo_sens=2.765
v_sens=0.880	csgo_sens=2.8
v_sens=0.891	csgo_sens=2.835
v_sens=0.902	csgo_sens=2.87
v_sens=0.913	csgo_sens=2.905
v_sens=0.924	csgo_sens=2.94
v_sens=0.935	csgo_sens=2.975
v_sens=0.946	csgo_sens=3.01
v_sens=0.957	csgo_sens=3.045
v_sens=0.968	csgo_sens=3.08
v_sens=0.979	csgo_sens=3.115
v_sens=0.990	csgo_sens=3.15
v_sens=1.001	csgo_sens=3.185
v_sens=1.012	csgo_sens=3.22
v_sens=1.023	csgo_sens=3.255
v_sens=1.034	csgo_sens=3.29
v_sens=1.045	csgo_sens=3.325
v_sens=1.056	csgo_sens=3.36
v_sens=1.067	csgo_sens=3.395
v_sens=1.078	csgo_sens=3.43
v_sens=1.089	csgo_sens=3.465
v_sens=1.100	csgo_sens=3.5
